dataset_source,dataset_name,n,capacity,algorithm,value,optimum,gap_percent,time_ms,status
FSU,P01,10,165,DP,309,309,0.00,14.113,OK
FSU,P01,10,165,Greedy,309,309,0.00,23.052,OK
FSU,P01,10,165,Backtracking,309,309,0.00,44.950,OK
FSU,P01,10,165,BranchBound,309,309,0.00,30.434,OK
FSU,P02,5,26,DP,51,51,0.00,0.029,OK
FSU,P02,5,26,Greedy,47,51,7.84,0.066,OK
FSU,P02,5,26,Backtracking,51,51,0.00,0.067,OK
FSU,P02,5,26,BranchBound,51,51,0.00,0.091,OK
FSU,P03,6,190,DP,150,150,0.00,0.065,OK
FSU,P03,6,190,Greedy,146,150,2.67,0.026,OK
FSU,P03,6,190,Backtracking,150,150,0.00,0.035,OK
FSU,P03,6,190,BranchBound,150,150,0.00,0.072,OK
FSU,P04,7,50,DP,107,107,0.00,0.038,OK
FSU,P04,7,50,Greedy,102,107,4.67,0.032,OK
FSU,P04,7,50,Backtracking,107,107,0.00,0.037,OK
FSU,P04,7,50,BranchBound,107,107,0.00,0.066,OK
FSU,P05,8,104,DP,900,900,0.00,0.057,OK
FSU,P05,8,104,Greedy,858,900,4.67,0.028,OK
FSU,P05,8,104,Backtracking,900,900,0.00,0.200,OK
FSU,P05,8,104,BranchBound,900,900,0.00,0.088,OK
FSU,P06,7,170,DP,1735,1735,0.00,0.069,OK
FSU,P06,7,170,Greedy,1478,1735,14.81,0.161,OK
FSU,P06,7,170,Backtracking,1735,1735,0.00,0.070,OK
FSU,P06,7,170,BranchBound,1735,1735,0.00,0.271,OK
FSU,P07,15,750,DP,1458,1458,0.00,0.921,OK
FSU,P07,15,750,Greedy,1441,1458,1.17,0.084,OK
FSU,P07,15,750,Backtracking,1458,1458,0.00,0.573,OK
FSU,P07,15,750,BranchBound,1458,1458,0.00,0.760,OK
FSU,P08,24,6404180,DP,13549094,13549094,0.00,757.697,OK
FSU,P08,24,6404180,Greedy,13415886,13549094,0.98,0.081,OK
FSU,P08,24,6404180,Backtracking,13549094,13549094,0.00,0.306,OK
FSU,P08,24,6404180,BranchBound,13549094,13549094,0.00,1.378,OK
Pi,UNCORRELATED_S,50,12181,DP,19976,19976,0.00,16.967,OK
Pi,UNCORRELATED_S,50,12181,Greedy,19976,19976,0.00,23.471,OK
Pi,UNCORRELATED_S,50,12181,Backtracking,19976,19976,0.00,23.391,OK
Pi,UNCORRELATED_S,50,12181,BranchBound,19976,19976,0.00,34.255,OK
Pi,UNCORRELATED_M,500,597637,DP,1001186,1001186,0.00,528.519,OK
Pi,UNCORRELATED_M,500,597637,Greedy,1001047,1001186,0.01,1.299,OK
Pi,UNCORRELATED_M,500,597637,Backtracking,,1001186,,0.000,SKIP
Pi,UNCORRELATED_M,500,597637,BranchBound,,1001186,,0.000,SKIP
Pi,UNCORRELATED_L,2000,2470070,DP,4111268,4111268,0.00,10056.173,OK
Pi,UNCORRELATED_L,2000,2470070,Greedy,4111121,4111268,0.00,4.291,OK
Pi,UNCORRELATED_L,2000,2470070,Backtracking,,4111268,,0.000,SKIP
Pi,UNCORRELATED_L,2000,2470070,BranchBound,,4111268,,0.000,SKIP
Pi,WEAKLY_CORRELATED_S,50,12402,DP,13822,13822,0.00,3.882,OK
Pi,WEAKLY_CORRELATED_S,50,12402,Greedy,13822,13822,0.00,0.173,OK
Pi,WEAKLY_CORRELATED_S,50,12402,Backtracking,13822,13822,0.00,0.689,OK
Pi,WEAKLY_CORRELATED_S,50,12402,BranchBound,13822,13822,0.00,1.092,OK
Pi,WEAKLY_CORRELATED_M,500,622535,DP,703810,703810,0.00,657.953,OK
Pi,WEAKLY_CORRELATED_M,500,622535,Greedy,703546,703810,0.04,0.939,OK
Pi,WEAKLY_CORRELATED_M,500,622535,Backtracking,,703810,,0.000,SKIP
Pi,WEAKLY_CORRELATED_M,500,622535,BranchBound,,703810,,0.000,SKIP
Pi,WEAKLY_CORRELATED_L,2000,2546034,DP,2866401,2866401,0.00,10663.162,OK
Pi,WEAKLY_CORRELATED_L,2000,2546034,Greedy,2866292,2866401,0.00,3.115,OK
Pi,WEAKLY_CORRELATED_L,2000,2546034,Backtracking,,2866401,,0.000,SKIP
Pi,WEAKLY_CORRELATED_L,2000,2546034,BranchBound,,2866401,,0.000,SKIP
